ASPM : City Pair Analysis : All Flights Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From 4/1/2024 To 6/28/2024 Days Omitted ; Departure=DFW : Use Flight Plan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Departure,Arrival,Date,Departure Hour,Flight Count,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,EDCT,EDCT>0,Gate Departure Delay,Taxi Out Delay,Average Taxi Out Time,Airport Departure Delay,Airborne Delay,Taxi In Delay,Block Delay,Gate Arrival Delay
DFW,ABI,5/30/24,1,1,100,100,100,0,0,0,12.6,24,0,0,2.6,0,0
DFW,ABI,5/30/24,6,2,0,0,0,0,0,55,8.6,20,64,0,0.6,8.5,63.5
DFW,ABI,5/30/24,8,1,100,100,100,0,0,0,7.6,19,8,2,2.6,0,0
DFW,ABI,5/30/24,13,1,0,0,0,0,0,43,0,11,43,1,0,0,40
DFW,ABI,5/30/24,16,1,0,0,0,0,0,56,8.6,20,65,0,26.6,24,80
DFW,ABI,5/30/24,18,1,0,0,0,0,0,56,14.6,26,71,8,11.6,33,89
DFW,ABI,5/30/24,20,1,0,0,0,0,0,19,4.6,16,24,0,2.6,3,22
DFW,ABI,5/31/24,6,1,0,0,0,0,0,34,6.6,18,41,0,2.6,9,43
DFW,ABI,5/31/24,8,1,0,0,100,0,0,31,0.6,12,32,0,0,0,7
DFW,ABI,5/31/24,13,1,100,100,100,0,0,0,10.6,22,11,0,0,3,3
DFW,ABI,5/31/24,16,1,0,0,0,0,0,16,50.6,62,67,0,0.6,38,54
DFW,ABI,5/31/24,18,1,100,100,100,0,0,0,0,11,0,0,0.6,0,0
DFW,ABI,5/31/24,20,1,100,100,100,0,0,0,2.6,14,1,0,0.6,0,0
DFW,ABI,6/3/24,8,1,0,0,100,0,0,25,7.6,19,33,0,0,0,11
DFW,ABI,6/3/24,13,1,0,0,0,0,0,19,0,11,19,1,2.6,0,16
DFW,ABI,6/3/24,16,1,100,100,100,0,0,0,53.6,65,0,0,0.6,44,0
DFW,ABI,6/3/24,18,1,0,0,0,0,0,34,8.6,20,43,2,1.6,7,41
DFW,ABI,6/3/24,20,1,0,0,0,0,0,45,13.6,25,59,0,3.6,11,56
DFW,ABI,6/4/24,6,2,0,0,0,0,0,36.5,9.6,21,46.5,4,1.6,15.5,51.5
DFW,ABI,6/4/24,8,1,0,0,100,0,0,19,13.6,25,33,0,0.6,0,9
DFW,ABI,6/4/24,13,1,100,100,100,0,0,0,4.6,16,5,0,0,0,0
DFW,ABI,6/4/24,16,1,100,100,100,0,0,0,11.6,23,6,0,3.6,4,0
DFW,ABI,6/4/24,18,1,100,0,0,0,0,0,41.6,53,41,0,0.6,37,36
DFW,ABI,6/4/24,21,1,100,100,100,0,0,0,15.6,27,0,0,0.6,0,0
DFW,ABI,6/5/24,8,1,0,0,0,0,0,37,0.6,12,38,1,0,0,18
DFW,ABI,6/5/24,10,1,100,100,100,0,0,0,0,11,0,0,0.6,14,0
DFW,ABI,6/5/24,12,1,100,0,0,0,0,11,25.6,37,37,0,0,9,20
DFW,ABI,6/5/24,16,1,100,100,100,0,0,0,4.6,16,2,0,0.6,0,0
DFW,ABI,6/5/24,18,1,0,0,0,0,0,35,16.6,28,52,0,0,10,45
DFW,ABI,6/5/24,20,1,100,100,100,0,0,0,9.6,21,10,0,0.6,6,6
DFW,ABI,6/6/24,6,1,0,0,0,0,0,22,2.6,14,25,0,1.6,0,20
